passage_id,question,passage
1996_460-48,Czy ZUS dokona korekty wymiaru składek po złożeniu deklaracji rozliczeniowej przez płatnika po terminie?,"1. Jeżeli płatnik składek nie złoży  w terminie deklaracji rozliczeniowej
  nie będąc z tego obowiązku zwolniony, Zakład dokonuje wymiaru składek z
  urzędu w wysokości wynikającej z ostatnio złożonej deklaracji
  rozliczeniowej, bez uwzględnienia wypłaconych zasiłków oraz zasiłków
  rodzinnych i pielęgnacyjnych, zawiadamiając o tym płatnika.
2. Jeżeli po wymierzeniu składek z urzędu płatnik składek złoży deklarację
  rozliczeniową, Zakład koryguje wymiar składek do wysokości wynikającej ze
  złożonej deklaracji rozliczeniowej, z uwzględnieniem wykazanych w
  deklaracji zasiłków oraz zasiłków rodzinnych i pielęgnacyjnych."
1997_735-64,Czy brak stanowiska oskarżyciela stoi na przeszkodzie uwzględnienia wniosku?," §1. Przy rozpoznawaniu wniosku obwinionego o skazanie go w określony sposób
     bez przeprowadzania rozprawy, zgłoszonego przed jej rozpoczęciem, sąd
     stosuje odpowiednio art. 63.
 §2. Sąd może uwzględnić wniosek, o którym mowa w § 1, jeżeli nie zgłosił wobec
     niego sprzeciwu oskarżyciel publiczny, a także oskarżyciel posiłkowy, gdy
     występuje w sprawie i jedynie wtedy, gdy okoliczności popełnienia czynu
     oraz wyjaśnienia obwinionego w świetle ujawnionego materiału dowodowego
     nie budzą wątpliwości.
 §3. Jeżeli obwiniony nie był przesłuchany w toku czynności wyjaśniających sąd
     przesłuchuje go na posiedzeniu, chyba że obwiniony bez usprawiedliwienia
     nie stawił się na posiedzenie albo nadesłał swoje wyjaśnienia na piśmie w
     trybie określonym w art. 67 § 3.
 §4. Brak stanowiska oskarżyciela w przedmiocie sprzeciwu, o którym mowa w § 2,
     nie stoi na przeszkodzie uwzględnieniu wniosku jeżeli oskarżyciel
     prawidłowo powiadomiony o terminie posiedzenia nie stawił się bez
     usprawiedliwienia.
                                        
                                   Rozdział 12
                            Przygotowanie do rozprawy
                                        "
1998_1118-42,Czy wszyscy pracownicy PKP są pracownikami kolejowymi?,"1. Pracownikami kolejowymi w rozumieniu ustawy są osoby pozostające w
  stosunku pracy w:
   1) jednostkach organizacyjnych przedsiębiorstwa ""Polskie Koleje Państwowe"",
     z wyłączeniem biur projektów kolejowych,
   2) innych jednostkach (komórkach) organizacyjnych, których pracownicy byli
     objęci dotychczasowymi przepisami o zaopatrzeniu emerytalnym pracowników
     kolejowych i ich rodzin.
2. Zatrudnienie pracowników kolejowych w jednostkach (komórkach)
  organizacyjnych, określonych w ust. 1, zwanych dalej ""kolejowymi jednostkami
  organizacyjnymi"", uważa się w rozumieniu ustawy za zatrudnienie na kolei."
2001_749-9,Czy wszyscy pracownicy PKP są pracownikami kolejowymi?,"1. Pracownicy PKP stają się, z mocy prawa, pracownikami PKP SA, z  zastrzeżeniem ust. 2.2. Stosunek pracy członków Zarządu PKP oraz pracowników zatrudnionych na  podstawie powołania wygasa, z mocy prawa, z dniem wykreślenia PKP z rejestru  przedsiębiorstw państwowych. Pracownikom, których stosunek pracy wygasł,  przysługuje odprawa w wysokości trzymiesięcznego wynagrodzenia liczonego jak  ekwiwalent pieniężny za urlop wypoczynkowy. Odprawa ta nie przysługuje w  przypadku przyjęcia, do dnia wygaśnięcia stosunku pracy, propozycji  zatrudnienia w PKP SA.3. Rada PKP ulega rozwiązaniu, z mocy prawa, z dniem określonym w art. 8 ust.  3."
2001_452-16,Kto wydaje certyfikaty zgodności?,"1. Płody rolne nieprzetworzone oraz produkty z nich powstałe, w tym także
  zwierzęta oraz produkty i przetwory pochodzenia zwierzęcego, wprowadza się do
  obrotu jako produkty rolnictwa ekologicznego, jeżeli zostały wyprodukowane
  lub przetworzone metodami ekologicznymi, co potwierdza certyfikat zgodności.
2. Obowiązek uzyskania certyfikatu zgodności nie dotyczy produktów rolnictwa
  ekologicznego, które były objęte systemem kontroli w państwach Unii
  Europejskiej i zostały oznakowane w sposób określony w załączniku do ustawy.
3. Certyfikaty zgodności są wydawane tylko przez upoważnione jednostki
  certyfikujące.
4. Upoważnienia do przeprowadzania kontroli, wydawania i cofania certyfikatów
  zgodności udziela, na wniosek zainteresowanej jednostki certyfikującej, w
  drodze decyzji administracyjnej:
   1) minister właściwy do spraw rolnictwa - w zakresie produkcji rolnej oraz
     pozyskiwania dziko rosnących roślin lub ich części,
   2) minister właściwy do spraw rynków rolnych - w zakresie przetwórstwa
     produktów rolnictwa ekologicznego.
5. Jednostka certyfikująca może zostać upoważniona do przeprowadzania kontroli,
  wydawania i cofania certyfikatów zgodności, jeżeli:
   1) posiada plan kontroli obejmujący szczegółowy opis działań kontrolnych i
     procedur rozpatrywania zastrzeżeń do ustaleń dokonanych w toku kontroli,
   2) zatrudnia wykwalifikowanych pracowników posiadających praktykę w zakresie
     produkcji metodami ekologicznymi,
   3) zapewnia obiektywne i rzetelne warunki przeprowadzania kontroli u
     producentów.
6. Upoważniona jednostka certyfikująca jest zobowiązana do nieujawniania
  informacji i danych uzyskanych w trakcie działalności kontrolnej osobom innym
  niż kontrolowane lub podmioty uprawnione na podstawie odrębnych przepisów.
7. Minister właściwy do spraw rolnictwa oraz minister właściwy do spraw rynków
  rolnych prowadzą rejestr upoważnionych jednostek certyfikujących, który
  zawiera w szczególności:
   1) nazwę jednostki i jej siedzibę,
   2) zakres upoważnienia,
   3) numer identyfikacyjny nadany w upoważnieniu jednostce certyfikującej.
8. Rejestr upoważnionych jednostek certyfikujących publikowany jest w Dzienniku
  Urzędowym Rzeczypospolitej Polskiej ""Monitor Polski""."
2000_489-38,Kto wydaje certyfikaty zgodności?,"1. Kto wiedząc, że wyrób lub proces jego wytwarzania nie są zgodne z
  wymaganiami lub specyfikacjami technicznymi nadaje wyrobowi znak zgodności,
  podlega karze grzywny do 100.000 zł.
2. Tej samej karze podlega ten, kto bez wymaganych uprawnień nadaje znak
  zgodności."
1995_713-44,Czy marszałek województwa jest uprawniony do skracania okresów polowań na terenie województwa?," 1. Minister Ochrony Środowiska, Zasobów Naturalnych i Leśnictwa w porozumieniu
   z Ministrem Rolnictwa i Gospodarki Żywnościowej i po zasięgnięciu
   opinii Państwowej Rady Ochrony Przyrody oraz Polskiego Związku 
   Łowieckiego określi, w drodze rozporządzenia, dla obszaru całego kraju 
   lub jego części, okresy polowań na zwierzęta łowne.
 2. Wojewoda jest uprawniony do skracania, w uzasadnionych przypadkach, 
   okresów polowań na terenie województwa, po zasięgnięciu opinii Polskiego
   Związku Łowieckiego.
 3. Minister Ochrony Środowiska, Zasobów Naturalnych i Leśnictwa, po zasięgnięciu
   opinii Państwowej Rady Ochrony Przyrody, może zezwolić na 
   dokonanie odstrzału lub odłowu zwierzyny dla celów naukowych z pominięciem
   okresów ochronnych.
 4. Minister Ochrony Środowiska, Zasobów Naturalnych i Leśnictwa po zasięgnięciu
   opinii Państwowej Rady Ochrony Przyrody oraz Polskiego Związku
   Łowieckiego określi, w drodze rozporządzenia, listę zwierząt zaliczonych
   do szkodników łowieckich oraz sposoby ograniczania ich populacji.
 "
2004_880-56,Czy marszałek województwa jest uprawniony do skracania okresów polowań na terenie województwa?,"1. Minister właściwy do spraw środowiska może zezwolić na zbiór roślin i
  grzybów objętych ochroną gatunkową , chwytanie, odławianie lub zabijanie
  zwierząt objętych ochroną gatunkową oraz na inne czynności podlegające
  zakazom lub ograniczeniom w stosunku do gatunków:
   1) objętych ochroną ścisłą;
   2) objętych ochroną częściową, jeżeli zezwolenie dotyczy obszaru
     wykraczającego poza granice jednego województwa lub jeżeli ma to związek z
     działaniami podejmowanymi przez ministra właściwego do spraw środowiska, w
     tym dotyczącymi realizacji krajowej strategii ochrony i zrównoważonego
     użytkowania różnorodności biologicznej, programów ochrony gatunków
     zagrożonych wyginięciem lub realizacji umów międzynarodowych.
2. Wojewoda na obszarze swojego działania może zezwolić:
   1) w stosunku do gatunków objętych ochroną częściową - na pozyskiwanie lub
     zbiór roślin lub grzybów, ich części i produktów pochodnych oraz
     pozyskiwanie, chwytanie lub zabijanie zwierząt, a także na inne czynności
     podlegające zakazom lub ograniczeniom;
   2) w stosunku do gatunków objętych ochroną ścisłą - na zbieranie,
     przetrzymywanie i posiadanie martwych, w tym spreparowanych zwierząt, ich
     części i produktów pochodnych, a także na fotografowanie i filmowanie
     mogące powodować niepokojenie lub płoszenie.
3. Zezwolenia na pozyskiwanie roślin, zwierząt i grzybów w lasach wydaje się w
  porozumieniu z właścicielem lub zarządcą lasu.
4. Zezwolenia, o których mowa w ust. 1 i 2, z zastrzeżeniem ust. 5, mogą być
  wydane w przypadku braku rozwiązań alternatywnych i jeżeli nie spowoduje to
  zagrożenia dla dziko występujących populacji chronionych gatunków roślin,
  zwierząt lub grzybów oraz:
   1) wynikają z potrzeby ochrony innych dziko występujących gatunków roślin,
     zwierząt, grzybów oraz ochrony siedlisk przyrodniczych lub
   2) wynikają z konieczności ograniczenia poważnych szkód w gospodarce, w
     szczególności rolnej, leśnej lub rybackiej lub
   3) leżą w interesie zdrowia i bezpieczeństwa powszechnego lub
   4) wynikają z innych koniecznych wymogów nadrzędnego interesu publicznego, w
     tym wymogów o charakterze społecznym lub gospodarczym lub wymogów
     związanych z korzystnymi skutkami o podstawowym znaczeniu dla środowiska
     lub
   5) są niezbędne w realizacji badań naukowych i programów edukacyjnych lub w
     realizacji celów związanych z odbudową populacji, reintrodukcją gatunków
     roślin, zwierząt lub grzybów, albo do celów działań reprodukcyjnych, w tym
     do sztucznego rozmnażania roślin lub
   6) umożliwiają, w ściśle kontrolowanych warunkach, selektywnie i w
     ograniczonym stopniu, zbiór lub przetrzymywanie roślin i grzybów oraz
     chwytanie lub przetrzymywanie zwierząt gatunków objętych ochroną ścisłą w
     liczbie określonej przez wydającego zezwolenie.
5. Zezwolenia na pozyskiwanie roślin i zwierząt objętych ochroną gatunkową mogą
  być wydane jeżeli nie spowodują zagrożenia dla dziko występujących populacji
  chronionych gatunków roślin, zwierząt lub grzybów.
6. Zezwolenie może być wydane na wniosek, który zawiera:
   1) imię, nazwisko i adres albo nazwę i siedzibę wnioskodawcy;
   2) cel wykonania wnioskowanych czynności;
   3) opis czynności, na którą może być wydane zezwolenie;
   4) nazwę gatunku lub gatunków w języku łacińskim i polskim, jeżeli polska
     nazwa istnieje;
   5) liczbę lub ilość osobników, których dotyczy wniosek;
   6) sposób, miejsce i czas wykonania czynności;
   7) wskazanie podmiotu, który będzie uśmiercał zwierzęta.
7. Zezwolenia, o których mowa w ust. 1 i 2, zawierają:
   1) imię, nazwisko i adres albo nazwę i siedzibę wnioskodawcy;
   2) nazwę gatunku lub gatunków w języku łacińskim i polskim, jeżeli polska
     nazwa istnieje;
   3) liczbę lub ilość osobników, których dotyczy zezwolenie;
   4) opis czynności, na które wydaje się zezwolenie;
   5) wskazanie dozwolonych środków i sposobów chwytania, odławiania lub
     zabijania zwierząt albo sposobów zbioru roślin i grzybów lub sposobów
     wykonania innych czynności, na które wydaje się zezwolenie;
   6) określenie czasu i miejsca wykonania czynności, których dotyczy
     zezwolenie;
   7) wskazanie podmiotu, który będzie uśmiercał zwierzęta;
   8) określenie terminu złożenia informacji o wykorzystaniu zezwolenia.
8. Wojewoda do dnia 31 stycznia każdego roku składa ministrowi właściwemu do
  spraw środowiska raport o wydanych zezwoleniach w roku poprzednim,
  zawierający informacje, o których mowa w ust. 7 pkt 2-7, oraz informację o
  wykorzystaniu zezwoleń.
9. Minister właściwy do spraw środowiska przygotowuje i przedstawia Komisji
  Europejskiej raporty dotyczące ochrony gatunkowej, których "
2001_763-2,Czy psycholog wykonuje swój zawód samodzielnie?,Psycholog wykonuje swój zawód samodzielnie.
2001_1545-253,Czy straty wynikłe z utraty ładunku załadowanego bez wiedzy armatora zalicza się do awarii wspólnej?," § 1. Strat wynikłych z utraty lub uszkodzenia ładunku, który załadowano na
     statek bez wiedzy armatora albo zadeklarowano fałszywie przy przyjęciu do
     przewozu, nie zalicza się do awarii wspólnej; jednakże ładunek taki,
     jeżeli został uratowany, uczestniczy w pokryciu udziałów awarii wspólnej
     według ogólnych zasad.
 § 2. Straty wynikłe z utraty lub uszkodzenia ładunku, którego wartość została
     przy przyjęciu do przewozu zadeklarowana poniżej rzeczywistej wartości,
     zalicza się do awarii wspólnej według wartości zadeklarowanej, natomiast
     ciążące na tym ładunku zobowiązania z tytułu udziału w awarii wspólnej
     ustala się według jego wartości rzeczywistej.
                                        "
1997_469-47f,W zależności od czego oblicza się opłaty za usunięcie drzew?,"             lub krzewów.
         2. Opłaty nalicza i pobiera organ właściwy do wydania zezwolenia na
           usunięcie drzew lub krzewów.
         3. Opłaty za usunięcie drzew ustala się w zależności od obwodu pnia,
           rodzaju lub gatunku (odmiany) drzewa, a za usunięcie krzewów - w
           zależności od powierzchni porośniętej krzewami.
         4. Opłatę ustala się przy udzielaniu zezwolenia.
         5. Wniosek o wydanie zezwolenia powinien zawierać dane dotyczące
           gatunku drzewa, obwodu jego pnia, przeznaczenia terenu, na którym
           rośnie drzewo, przyczynę i termin zamierzonego usunięcia drzewa lub
           przyczynę i termin zamierzonego usunięcia krzewów oraz wielkość
           powierzchni, z której zostaną usunięte krzewy.
         6. Organ gminy odracza na okres dwóch lat termin uiszczenia opłaty za
           usunięcie drzew lub krzewów, jeżeli zezwolenie przewiduje
           przesadzenie ich w inne miejsce.
         7. Jeżeli przesadzone drzewa lub krzewy zachowały żywotność po upływie
           dwóch lat od dnia ich przesadzenia lub nie zachowały żywotności na
           skutek siły wyższej lub klęski suszy, należność z tytułu ustalonej
           opłaty za usunięcie drzew lub krzewów podlega umorzeniu przez organ
           gminy."
2004_880-84,W zależności od czego oblicza się opłaty za usunięcie drzew?,"1. Posiadacz nieruchomości ponosi opłaty za usunięcie drzew lub krzewów.
2. Opłaty nalicza i pobiera organ właściwy do wydania zezwolenia na usunięcie
  drzew lub krzewów.
3. Opłaty za usunięcie drzew lub krzewów ustala się w wydanym zezwoleniu.
4. Organ właściwy do wydania zezwolenia na usunięcie drzew lub krzewów odracza,
  na okres 3 lat od dnia wydania zezwolenia, termin uiszczenia opłaty za ich
  usunięcie, jeżeli zezwolenie przewiduje przesadzenie ich w inne miejsce lub
  zastąpienie innymi drzewami lub krzewami.
5. Jeżeli przesadzone albo posadzone w zamian drzewa lub krzewy zachowały
  żywotność po upływie 3 lat od dnia ich przesadzenia albo posadzenia lub nie
  zachowały żywotności z przyczyn niezależnych od posiadacza nieruchomości,
  należność z tytułu ustalonej opłaty za usunięcie drzew lub krzewów podlega
  umorzeniu przez organ właściwy do naliczania i pobierania opłat.
6. Opłaty za usunięcie drzew lub krzewów, związane z budową dróg publicznych,
  pomniejsza się o koszty poniesione na tworzenie zadrzewień w miejsce
  usuniętych drzew lub krzewów, w granicach pasa drogowego."
2004_880-85,W zależności od czego oblicza się opłaty za usunięcie drzew?,"1. Opłatę za usunięcie drzew ustala się na podstawie stawki zależnej od obwodu
  pnia oraz rodzaju i gatunku drzewa.
2. Stawki opłat za usuwanie drzew nie mogą przekraczać za jeden centymetr
  obwodu pnia mierzonego na wysokości 130 cm:
   1) 270 zł - przy obwodzie do 25 cm;
   2) 410 zł - przy obwodzie od 26 do 50 cm;
   3) 640 zł - przy obwodzie od 51 do 100 cm;
   4) 1000 zł - przy obwodzie od 101 do 200 cm;
   5) 1500 zł - przy obwodzie od 201 do 300 cm;
   6) 2100 zł - przy obwodzie od 301 do 500 cm;
   7) 2700 zł - przy obwodzie od 501 do 700 cm;
   8) 3500 zł - przy obwodzie powyżej 700 cm.
3. Jeżeli drzewo rozwidla się na wysokości poniżej 130 cm, każdy pień traktuje
  się jako odrębne drzewo.
4. Minister właściwy do spraw środowiska określi, w drodze rozporządzenia:
   1) stawki dla poszczególnych rodzajów i gatunków drzew,
   2) współczynniki różnicujące stawki w zależności od obwodu pnia
 - kierując się zróżnicowanymi kosztami produkcji poszczególnych rodzajów i
  gatunków drzew oraz wielkościami przyrostu obwodu pni drzew.
5. Stawkę za usunięcie jednego metra kwadratowego powierzchni pokrytej krzewami
  ustala się w wysokości 200 zł.
6. Opłaty za usunięcie drzew lub krzewów z terenu uzdrowisk, obszaru ochrony
  uzdrowiskowej, terenu nieruchomości wpisanej do rejestru zabytków oraz
  terenów zieleni są o 100% wyższe od opłat ustalonych na podstawie stawek, o
  których mowa ust. 4 pkt 1 i ust. 5.
7. Stawki, o których mowa w ust. 2, ust. 4 pkt 1 i ust. 5, podlegają z dniem 1
  stycznia każdego roku waloryzacji o prognozowany średnioroczny wskaźnik cen
  towarów i usług konsumpcyjnych ogółem, przyjęty w ustawie budżetowej.
8. Minister właściwy do spraw środowiska, w terminie do dnia 31 października
  każdego roku, ogłasza, w drodze obwieszczenia w Dzienniku Urzędowym
  Rzeczypospolitej Polskiej ""Monitor Polski"", wysokość stawek, o których mowa w
  ust. 7 i art. 89 ust. 8."
1999_802-46,Czy funkcjonariusz celny może dostać odznakę honorową?,"1. Funkcjonariuszowi celnemu, który wzorowo wykonuje obowiązki, przejawia
  inicjatywę w służbie i doskonali kwalifikacje zawodowe, mogą być udzielane
  wyróżnienia:
   1) dyplom,
   2) nagroda pieniężna lub rzeczowa,
   3) awansowanie na wyższe stanowisko lub na wyższy stopień służbowy,
   4) przyznanie odznaki honorowej,
   5) przedstawienie do odznaczenia państwowego.
2. Minister właściwy do spraw finansów publicznych określi w drodze
  rozporządzenia tryb udzielania wyróżnień oraz właściwość przełożonych w tych
  sprawach.
                                       "
1999_802-5,Czy funkcjonariusz celny może dostać odznakę honorową?,"1. Ustanawia się odznakę honorową ""Zasłużony dla Służby Celnej"".
2. Odznakę honorową ""Zasłużony dla Służby Celnej"" nadaje minister właściwy do
  spraw finansów publicznych osobom wyróżniającym się w Służbie Celnej lub
  mających szczególne zasługi dla Służby Celnej.
3. Rada Ministrów określi, w drodze rozporządzenia, wzór odznaki, szczegółowe
  zasady i tryb jej nadawania, a także sposób jej noszenia,  oraz wzór wniosku
  o nadanie odznaki i legitymacji. We wzorze wniosku powinny zostać
  sprecyzowane niezbędne dane, w tym informacje o osiągnięciach uzasadniających
  nadanie odznaki.
4. Minister właściwy do spraw finansów publicznych określi, w drodze
  rozporządzenia, wzór sztandaru Służby Celnej oraz tryb jego nadania. Wzór
  sztandaru Służby Celnej powinien nawiązywać do tradycji administracji celnej."
1996_3-10,Jaki organ Krajowej Izby jest najwyższym jej organem?,"1. Najwyższym organem izby jest walne zgromadzenie.
 2. Członkowie walnego zgromadzenia są wybierani spośród członków izby w 
   wyborach bezpośrednich, przeprowadzanych w głosowaniu tajnym."
1997_593-29,Jaki organ Krajowej Izby jest najwyższym jej organem?,"1. Krajowy Zjazd Izby jest najwyższym organem Krajowej Izby.
2. Krajowy Zjazd Izby stanowią delegaci wybrani przez okręgowe zjazdy izb.
3. W Krajowym Zjeździe Izby biorą udział z głosem doradczym nie będący
  delegatami członkowie ustępujących organów Krajowej Izby, o których mowa w
  art. 28 ust. 1 pkt 2-6.
4. Krajowa Rada Izby określa zasady ustalania liczby delegatów z okręgowych
  izb na Krajowy Zjazd Izby.
5. Krajowa Rada Izby zwołuje Krajowy Zjazd Izby, co najmniej raz w roku jako
  sprawozdawczy, a co 4 lata jako sprawozdawczo-wyborczy.
6. Nadzwyczajny Krajowy Zjazd Izby zwołuje Krajowa Rada Izby z własnej
  inicjatywy lub na wniosek Krajowej Komisji Rewizyjnej, co najmniej 1/3
  ogólnej liczby członków okręgowych rad izb, co najmniej 1/5 wszystkich
  członków okręgowych izb albo ministra właściwego do spraw architektury i
  budownictwa dla izb architektów i inżynierów budownictwa lub ministra
  właściwego do spraw gospodarki przestrzennej i mieszkaniowej dla izby
  urbanistów.
7. Nadzwyczajny Krajowy Zjazd Izby powinien być zwołany w terminie 2 miesięcy
  od dnia wpływu wniosku o zwołanie zjazdu.
                                       "
1995_439-12,Czy rachmistrze muszą składać przyrzeczenie?,"Pracownicy służb statystyki publicznej, rachmistrze spisowi, ankieterzy statystyczni
oraz inne osoby wykonujące czynności w imieniu i na rzecz statystyki publicznej,
mający bezpośredni dostęp do danych indywidualnych i danych osobowych,
są obowiązani do bezwzględnego przestrzegania tajemnicy statystycznej i 
mogą być dopuszczeni do wykonywania tych czynności po złożeniu w urzędzie 
statystycznym albo innej jednostce organizacyjnej służb statystyki publicznej pisemnego
przyrzeczenia następującej treści:
   ""Przyrzekam, że będę wykonywać swoje prace na rzecz statystyki publicznej
    z całą rzetelnością, zgodnie z etyką zawodową statystyka, a poznane
    w czasie ich wykonywania dane jednostkowe zachowam w tajemnicy 
    wobec osób trzecich.""
  "
2001_499-63,Czy można wejść do lokalu wyborczego z bronią?,Zabroniony jest wstęp do lokalu wyborczego osobom uzbrojonym.
1998_602-49,Czy można wejść do lokalu wyborczego z bronią?,Osobom uzbrojonym wstęp do lokalu wyborczego jest zakazany.
2001_1207-6,Czy osoba udzielająca pierwszej pomocy może poświęcić mienie drugiej osoby w stopniu niezbędnym do ratowania życia?,"Kierujący medycznymi działaniami ratowniczymi, a także osoba udzielająca
pierwszej pomocy lub podejmująca medyczne działania ratownicze, może poświęcić
dobra osobiste innej osoby, inne niż życie lub zdrowie, a także dobra majątkowe
w zakresie, w jakim jest to niezbędne dla ratowania życia lub zdrowia osoby w
stanie nagłego zagrożenia.
                                        "
2001_1207-13,Czy osoba udzielająca pierwszej pomocy może poświęcić mienie drugiej osoby w stopniu niezbędnym do ratowania życia?,"Osoba podejmująca medyczne działania ratownicze oraz osoba udzielająca pierwszej
pomocy korzystają z ochrony przewidzianej w Kodeksie karnym dla funkcjonariuszy
publicznych."
